Condition,Method,Recall,F1,FPR,Oscillation,FPS
Clean,A_Baseline,0.8220233020744531,0.8983084096049435,0.0136734693877551,2.5914285714285716,95.75714285714285
Clean,D_FullSystem,0.8560102301790281,0.9168817891616197,0.025040650406504057,2.511428571428571,77.94285714285715
Light,A_Baseline,0.6151179312304632,0.7082197796032684,0.008095238095238086,4.3185714285714285,102.27142857142856
Light,D_FullSystem,0.615771526001705,0.7086107837479126,0.010204081632653057,4.2700000000000005,88.72857142857143
Medium,A_Baseline,0.5325660699062233,0.6389533454049583,0.003197278911564614,5.065714285714285,98.9
Medium,D_FullSystem,0.5554418868996874,0.6536013741987977,0.003741496598639443,5.317142857142857,89.3142857142857
Heavy,A_Baseline,0.4027280477408354,0.5061590363491942,0.0013771362203417856,4.7385714285714275,89.27142857142857
Heavy,D_FullSystem,0.4380221653878942,0.5323309642480988,0.0008163265306122429,4.827142857142856,84.38571428571429
