Method,方法,F1,Recall,Qwen_Rate,FPS,FPR
A_Baseline,无Qwen基线,0.8983084096049435,0.8220233020744531,0.0,74.67142857142858,0.0136734693877551
B_LazyQwen,惰性Qwen,0.9020943623740495,0.8293265132139812,4.68,67.89999999999999,0.014237859594445457
C_UATS,冲突触发Qwen,0.9097701191159135,0.8412048877522023,3.7399999999999998,60.10000000000001,0.02586248725773039
D_FullSystem,完整系统,0.91693201185366,0.8560102301790281,3.43,61.4,0.02357650589398006
