Method,方法,Recall,F1,FPR,Oscillation,Qwen_Rate,FPS
A_Baseline,YOLO基线,0.8220233020744531,0.8983084096049435,0.0136734693877551,2.5914285714285716,0.0,74.67142857142858
B_LazyQwen,惰性Qwen,0.8293265132139812,0.9020943623740495,0.014237859594445457,2.52,4.68,67.89999999999999
C_UATS,冲突时序融合,0.8412048877522023,0.9097701191159135,0.02586248725773039,2.4699999999999998,3.7399999999999998,60.10000000000001
D_FullSystem,完整系统,0.8560102301790281,0.91693201185366,0.02357650589398006,2.4899999999999998,3.43,61.4
